Vehicle ID: 0, Entry Lane: CL2, Exit Lane: CL1, Direction: S
Vehicle ID: 1, Entry Lane: BL2, Exit Lane: AL1, Direction: W
Vehicle ID: 2, Entry Lane: BL2, Exit Lane: BL1, Direction: N
Vehicle ID: 3, Entry Lane: CL2, Exit Lane: DL1, Direction: W
Vehicle ID: 4, Entry Lane: CL2, Exit Lane: L3, Direction: N
Vehicle ID: 5, Entry Lane: CL2, Exit Lane: L3, Direction: E
Vehicle ID: 6, Entry Lane: CL2, Exit Lane: BL1, Direction: W
Vehicle ID: 7, Entry Lane: CL2, Exit Lane: DL1, Direction: S
Vehicle ID: 8, Entry Lane: AL2, Exit Lane: BL1, Direction: E
Vehicle ID: 9, Entry Lane: BL2, Exit Lane: L3, Direction: S
Vehicle ID: 10, Entry Lane: DL2, Exit Lane: AL1, Direction: N
Vehicle ID: 11, Entry Lane: BL2, Exit Lane: CL1, Direction: S
Vehicle ID: 12, Entry Lane: CL2, Exit Lane: DL1, Direction: E
Vehicle ID: 13, Entry Lane: DL2, Exit Lane: BL1, Direction: S
Vehicle ID: 14, Entry Lane: CL2, Exit Lane: CL1, Direction: S
Vehicle ID: 15, Entry Lane: AL2, Exit Lane: L3, Direction: N
Vehicle ID: 16, Entry Lane: AL2, Exit Lane: AL1, Direction: E
Vehicle ID: 17, Entry Lane: CL2, Exit Lane: AL1, Direction: N
Vehicle ID: 18, Entry Lane: AL2, Exit Lane: BL1, Direction: E
Vehicle ID: 19, Entry Lane: CL2, Exit Lane: L3, Direction: E
Vehicle ID: 20, Entry Lane: CL2, Exit Lane: L3, Direction: W
Vehicle ID: 21, Entry Lane: CL2, Exit Lane: L3, Direction: E
Vehicle ID: 22, Entry Lane: CL2, Exit Lane: AL1, Direction: E
Vehicle ID: 23, Entry Lane: AL2, Exit Lane: L3, Direction: N
Vehicle ID: 24, Entry Lane: BL2, Exit Lane: L3, Direction: S
Vehicle ID: 25, Entry Lane: AL2, Exit Lane: CL1, Direction: W
Vehicle ID: 26, Entry Lane: BL2, Exit Lane: CL1, Direction: W
Vehicle ID: 27, Entry Lane: BL2, Exit Lane: L3, Direction: E
Vehicle ID: 28, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 29, Entry Lane: CL2, Exit Lane: DL1, Direction: S
Vehicle ID: 30, Entry Lane: DL2, Exit Lane: L3, Direction: S
Vehicle ID: 31, Entry Lane: DL2, Exit Lane: L3, Direction: W
Vehicle ID: 32, Entry Lane: BL2, Exit Lane: L3, Direction: E
Vehicle ID: 33, Entry Lane: DL2, Exit Lane: AL1, Direction: S
Vehicle ID: 34, Entry Lane: CL2, Exit Lane: L3, Direction: E
Vehicle ID: 35, Entry Lane: DL2, Exit Lane: CL1, Direction: W
Vehicle ID: 36, Entry Lane: BL2, Exit Lane: L3, Direction: W
Vehicle ID: 37, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 38, Entry Lane: BL2, Exit Lane: L3, Direction: N
Vehicle ID: 39, Entry Lane: BL2, Exit Lane: CL1, Direction: W
Vehicle ID: 40, Entry Lane: DL2, Exit Lane: CL1, Direction: N
Vehicle ID: 41, Entry Lane: BL2, Exit Lane: DL1, Direction: W
Vehicle ID: 42, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 43, Entry Lane: DL2, Exit Lane: AL1, Direction: S
Vehicle ID: 44, Entry Lane: DL2, Exit Lane: CL1, Direction: W
Vehicle ID: 45, Entry Lane: AL2, Exit Lane: AL1, Direction: N
Vehicle ID: 46, Entry Lane: CL2, Exit Lane: L3, Direction: W
Vehicle ID: 47, Entry Lane: CL2, Exit Lane: L3, Direction: E
Vehicle ID: 48, Entry Lane: CL2, Exit Lane: AL1, Direction: S
Vehicle ID: 49, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 50, Entry Lane: CL2, Exit Lane: CL1, Direction: W
Vehicle ID: 51, Entry Lane: CL2, Exit Lane: BL1, Direction: S
Vehicle ID: 52, Entry Lane: AL2, Exit Lane: AL1, Direction: W
Vehicle ID: 53, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 54, Entry Lane: BL2, Exit Lane: BL1, Direction: E
Vehicle ID: 55, Entry Lane: AL2, Exit Lane: DL1, Direction: W
Vehicle ID: 56, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 57, Entry Lane: DL2, Exit Lane: BL1, Direction: S
Vehicle ID: 58, Entry Lane: CL2, Exit Lane: AL1, Direction: S
Vehicle ID: 59, Entry Lane: BL2, Exit Lane: CL1, Direction: E
Vehicle ID: 60, Entry Lane: CL2, Exit Lane: CL1, Direction: N
Vehicle ID: 61, Entry Lane: DL2, Exit Lane: L3, Direction: W
Vehicle ID: 62, Entry Lane: BL2, Exit Lane: L3, Direction: S
Vehicle ID: 63, Entry Lane: BL2, Exit Lane: DL1, Direction: E
Vehicle ID: 64, Entry Lane: BL2, Exit Lane: CL1, Direction: S
Vehicle ID: 65, Entry Lane: BL2, Exit Lane: CL1, Direction: N
Vehicle ID: 66, Entry Lane: CL2, Exit Lane: L3, Direction: E
Vehicle ID: 67, Entry Lane: AL2, Exit Lane: AL1, Direction: W
Vehicle ID: 68, Entry Lane: DL2, Exit Lane: AL1, Direction: W
Vehicle ID: 69, Entry Lane: AL2, Exit Lane: CL1, Direction: N
Vehicle ID: 70, Entry Lane: BL2, Exit Lane: CL1, Direction: E
Vehicle ID: 71, Entry Lane: DL2, Exit Lane: AL1, Direction: S
Vehicle ID: 72, Entry Lane: AL2, Exit Lane: BL1, Direction: E
Vehicle ID: 73, Entry Lane: AL2, Exit Lane: AL1, Direction: S
Vehicle ID: 74, Entry Lane: DL2, Exit Lane: CL1, Direction: N
Vehicle ID: 75, Entry Lane: DL2, Exit Lane: AL1, Direction: W
Vehicle ID: 76, Entry Lane: BL2, Exit Lane: AL1, Direction: N
Vehicle ID: 77, Entry Lane: CL2, Exit Lane: CL1, Direction: S
Vehicle ID: 78, Entry Lane: AL2, Exit Lane: BL1, Direction: S
Vehicle ID: 79, Entry Lane: CL2, Exit Lane: BL1, Direction: S
Vehicle ID: 80, Entry Lane: BL2, Exit Lane: CL1, Direction: N
