Vehicle ID: 0, Entry Lane: AL2, Exit Lane: CL1, Direction: W
Vehicle ID: 1, Entry Lane: AL2, Exit Lane: CL1, Direction: S
Vehicle ID: 2, Entry Lane: CL2, Exit Lane: BL1, Direction: S
Vehicle ID: 3, Entry Lane: AL2, Exit Lane: DL1, Direction: W
Vehicle ID: 4, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 5, Entry Lane: DL2, Exit Lane: BL1, Direction: S
Vehicle ID: 6, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 7, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 8, Entry Lane: DL2, Exit Lane: BL1, Direction: N
Vehicle ID: 9, Entry Lane: AL2, Exit Lane: DL1, Direction: E
Vehicle ID: 10, Entry Lane: AL2, Exit Lane: CL1, Direction: S
Vehicle ID: 11, Entry Lane: AL2, Exit Lane: CL1, Direction: N
Vehicle ID: 12, Entry Lane: DL2, Exit Lane: CL1, Direction: W
Vehicle ID: 13, Entry Lane: CL2, Exit Lane: BL1, Direction: N
Vehicle ID: 14, Entry Lane: AL2, Exit Lane: CL1, Direction: S
Vehicle ID: 15, Entry Lane: CL2, Exit Lane: BL1, Direction: N
Vehicle ID: 16, Entry Lane: BL2, Exit Lane: DL1, Direction: S
Vehicle ID: 17, Entry Lane: DL2, Exit Lane: BL1, Direction: W
Vehicle ID: 18, Entry Lane: CL2, Exit Lane: BL1, Direction: E
